Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
223,184,1,13,4,8,,,,,,,
1,196,222,4,5,5,,,,,,,
220,196,2,6,6,3,,,,,,,
1,200,225,0,2,5,,,,,,,
180,190,45,11,3,4,,,,,,,
40,24,184,175,4,6,,,,,,,
215,196,7,1,6,8,,,,,,,
219,187,6,2,3,16,,,,,,,
219,192,5,3,4,10,,,,,,,
6,192,220,0,2,13,,,,,,,
158,197,67,0,3,8,,,,,,,
6,195,205,0,17,10,,,,,,,
5,196,207,0,16,9,,,,,,,
212,195,0,0,16,10,,,,,,,
58,200,165,0,1,0,,,,,,,
6,201,215,0,7,4,,,,,,,
5,201,219,0,4,4,,,,,,,
218,63,4,137,7,5,,,,,,,
21,199,201,2,7,4,,,,,,,
203,187,0,1,25,17,,,,,,,
0,180,206,8,22,17,,,,,,,
155,6,51,182,22,17,,,,,,,
213,184,0,1,15,20,,,,,,,
212,186,0,0,16,19,,,,,,,
213,185,0,0,15,20,,,,,,,
211,185,0,0,17,20,,,,,,,
211,186,0,0,17,19,,,,,,,
56,172,157,25,15,8,,,,,,,
5,197,204,0,19,8,,,,,,,
0,189,210,8,18,8,,,,,,,
208,189,2,2,1,4,,,,,,,
221,0,0,201,1,0,,,,,,,
222,171,1,30,5,4,,,,,,,
18,181,208,18,3,6,,,,,,,
11,197,214,2,4,6,,,,,,,
10,186,212,12,6,7,,,,,,,
205,199,19,1,4,5,,,,,,,
2,143,222,57,4,5,,,,,,,
10,158,214,42,4,5,,,,,,,
5,122,218,77,5,6,,,,,,,
8,147,216,51,0,1,,,,,,,
